Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1734876996,2024-12-22T14:16:36Z,SAS1471,"60.19677,11.102323",0,3,286
1734877011,2024-12-22T14:16:51Z,SAS1471,"60.196758,11.102655",0,3,286
1734877027,2024-12-22T14:17:07Z,SAS1471,"60.196724,11.102892",0,1,286
1734877281,2024-12-22T14:21:21Z,SAS1471,"60.196495,11.103248",0,8,123
1734877289,2024-12-22T14:21:29Z,SAS1471,"60.196526,11.10399",0,11,84
1734877295,2024-12-22T14:21:35Z,SAS1471,"60.196609,11.104361",0,9,64
1734877301,2024-12-22T14:21:41Z,SAS1471,"60.196861,11.104628",0,10,25
1734877307,2024-12-22T14:21:47Z,SAS1471,"60.197189,11.104799",0,11,16
1734877313,2024-12-22T14:21:53Z,SAS1471,"60.197468,11.104976",0,12,16
1734877317,2024-12-22T14:21:57Z,SAS1471,"60.197723,11.105118",0,13,16
1734877323,2024-12-22T14:22:03Z,SAS1471,"60.198109,11.105338",0,15,16
1734877327,2024-12-22T14:22:07Z,SAS1471,"60.198376,11.105486",0,14,14
1734877332,2024-12-22T14:22:12Z,SAS1471,"60.198608,11.105633",0,12,19
1734877338,2024-12-22T14:22:18Z,SAS1471,"60.19878,11.105976",0,12,47
1734877339,2024-12-22T14:22:19Z,SAS1471,"60.198818,11.106207",0,12,64
1734877342,2024-12-22T14:22:22Z,SAS1471,"60.198807,11.106633",0,12,90
1734877345,2024-12-22T14:22:25Z,SAS1471,"60.198769,11.106908",0,12,101
1734877350,2024-12-22T14:22:30Z,SAS1471,"60.1987,11.107349",0,13,104
1734877351,2024-12-22T14:22:31Z,SAS1471,"60.198669,11.107604",0,13,104
1734877353,2024-12-22T14:22:33Z,SAS1471,"60.198624,11.107912",0,14,106
1734877355,2024-12-22T14:22:35Z,SAS1471,"60.198578,11.108172",0,15,106
1734877358,2024-12-22T14:22:38Z,SAS1471,"60.198524,11.108551",0,15,106
1734877361,2024-12-22T14:22:41Z,SAS1471,"60.198475,11.108953",0,15,106
1734877363,2024-12-22T14:22:43Z,SAS1471,"60.198444,11.109164",0,16,106
1734877365,2024-12-22T14:22:45Z,SAS1471,"60.198387,11.109581",0,16,106
1734877371,2024-12-22T14:22:51Z,SAS1471,"60.198235,11.110586",0,18,106
1734877379,2024-12-22T14:22:59Z,SAS1471,"60.198051,11.111866",0,19,106
1734877385,2024-12-22T14:23:05Z,SAS1471,"60.197945,11.112597",0,15,106
1734877392,2024-12-22T14:23:12Z,SAS1471,"60.197803,11.113456",0,12,106
1734877394,2024-12-22T14:23:14Z,SAS1471,"60.197765,11.113666",0,12,112
1734877397,2024-12-22T14:23:17Z,SAS1471,"60.197689,11.113921",0,13,115
1734877399,2024-12-22T14:23:19Z,SAS1471,"60.197628,11.114139",0,13,118
1734877401,2024-12-22T14:23:21Z,SAS1471,"60.197571,11.114352",0,14,118
1734877404,2024-12-22T14:23:24Z,SAS1471,"60.197491,11.114682",0,14,115
1734877406,2024-12-22T14:23:26Z,SAS1471,"60.197445,11.114902",0,13,112
1734877414,2024-12-22T14:23:34Z,SAS1471,"60.197292,11.115884",0,15,104
1734877419,2024-12-22T14:23:39Z,SAS1471,"60.197189,11.116644",0,15,104
